Generation,BestCandidate, Average, WorstCandidate
5, 0.578125, 0.4927083, 0.375
10, 0.625, 0.51875, 0.40625
15, 0.609375, 0.503125, 0.375
20, 0.5625, 0.4760417, 0.375
25, 0.5625, 0.4739583, 0.3125
30, 0.609375, 0.4770833, 0.375
35, 0.5625, 0.49375, 0.421875
40, 0.53125, 0.4791667, 0.34375
45, 0.5625, 0.4875, 0.375
50, 0.53125, 0.4875, 0.40625
55, 0.625, 0.49375, 0.375
60, 0.53125, 0.4822917, 0.3125
65, 0.609375, 0.4916667, 0.375
70, 0.625, 0.4875, 0.4375
75, 0.59375, 0.496875, 0.375
80, 0.59375, 0.4822917, 0.375
85, 0.5625, 0.5041667, 0.4375
90, 0.578125, 0.5083333, 0.4375
95, 0.640625, 0.51875, 0.46875
100, 0.59375, 0.4791667, 0.3125
105, 0.5625, 0.496875, 0.3125
110, 0.6875, 0.5197917, 0.40625
115, 0.5625, 0.4760417, 0.34375
120, 0.71875, 0.5364583, 0.375
125, 0.640625, 0.4875, 0.3125
130, 0.53125, 0.4833333, 0.375
135, 0.53125, 0.4677083, 0.28125
140, 0.640625, 0.503125, 0.40625
145, 0.6875, 0.5239583, 0.4375
150, 0.640625, 0.5083333, 0.40625
155, 0.5625, 0.49375, 0.4375
160, 0.6875, 0.503125, 0.4375
165, 0.625, 0.4885417, 0.3125
170, 0.578125, 0.490625, 0.40625
175, 0.65625, 0.4895833, 0.3125
180, 0.71875, 0.5322917, 0.453125
185, 0.5625, 0.4947917, 0.40625
190, 0.71875, 0.4947917, 0.3125
195, 0.65625, 0.4864583, 0.375
200, 0.59375, 0.490625, 0.390625
205, 0.625, 0.5197917, 0.453125
210, 0.6875, 0.4895833, 0.359375
215, 0.59375, 0.49375, 0.421875
220, 0.53125, 0.4885417, 0.40625
225, 0.5625, 0.4927083, 0.375
230, 0.59375, 0.4927083, 0.40625
235, 0.546875, 0.4802083, 0.375
240, 0.625, 0.525, 0.4375
245, 0.6875, 0.5166667, 0.375
250, 0.59375, 0.49375, 0.4375
255, 0.671875, 0.5239583, 0.484375
260, 0.578125, 0.4854167, 0.40625
265, 0.59375, 0.4885417, 0.3125
270, 0.640625, 0.4895833, 0.34375
275, 0.59375, 0.496875, 0.375
280, 0.609375, 0.5104167, 0.40625
285, 0.625, 0.4833333, 0.375
290, 0.65625, 0.521875, 0.375
295, 0.578125, 0.4947917, 0.40625
300, 0.5625, 0.4770833, 0.328125
305, 0.625, 0.4947917, 0.40625
310, 0.640625, 0.5052083, 0.375
315, 0.609375, 0.478125, 0.375
320, 0.625, 0.49375, 0.40625
325, 0.625, 0.509375, 0.34375
330, 0.65625, 0.5052083, 0.265625
335, 0.5625, 0.4916667, 0.375
340, 0.59375, 0.503125, 0.359375
345, 0.5625, 0.4791667, 0.375
350, 0.59375, 0.5083333, 0.453125
355, 0.5625, 0.4916667, 0.40625
360, 0.578125, 0.4875, 0.390625
365, 0.625, 0.5010417, 0.4375
370, 0.625, 0.49375, 0.359375
375, 0.59375, 0.478125, 0.34375
380, 0.625, 0.515625, 0.40625
385, 0.609375, 0.5041667, 0.40625
390, 0.65625, 0.4770833, 0.375
395, 0.625, 0.5, 0.34375
400, 0.65625, 0.5197917, 0.453125
405, 0.5625, 0.4916667, 0.4375
410, 0.59375, 0.5135416, 0.46875
415, 0.5625, 0.4739583, 0.3125
420, 0.640625, 0.5041667, 0.4375
425, 0.5, 0.484375, 0.4375
430, 0.5625, 0.4791667, 0.390625
435, 0.65625, 0.5, 0.4375
440, 0.59375, 0.4916667, 0.3125
445, 0.53125, 0.4864583, 0.3125
450, 0.6875, 0.5010417, 0.25
455, 0.59375, 0.50625, 0.46875
460, 0.625, 0.5177084, 0.375
465, 0.625, 0.5104167, 0.40625
470, 0.625, 0.4895833, 0.359375
475, 0.5625, 0.5020834, 0.4375
480, 0.5625, 0.4979167, 0.328125
485, 0.65625, 0.4791667, 0.375
490, 0.5625, 0.5010417, 0.40625
495, 0.625, 0.51875, 0.4375
500, 0.5625, 0.4875, 0.375
505, 0.5, 0.4979167, 0.46875
510, 0.65625, 0.4770833, 0.390625
515, 0.59375, 0.5125, 0.34375
520, 0.65625, 0.5125, 0.4375
525, 0.578125, 0.4770833, 0.3125
530, 0.59375, 0.5114583, 0.46875
535, 0.609375, 0.4989583, 0.4375
540, 0.625, 0.5020834, 0.40625
545, 0.5625, 0.4677083, 0.375
550, 0.546875, 0.4760417, 0.34375
555, 0.5625, 0.4760417, 0.359375
560, 0.640625, 0.5020834, 0.34375
565, 0.625, 0.5322917, 0.4375
570, 0.59375, 0.49375, 0.375
575, 0.625, 0.5104167, 0.421875
580, 0.5625, 0.4927083, 0.390625
585, 0.5625, 0.503125, 0.4375
590, 0.640625, 0.4989583, 0.375
595, 0.5625, 0.4947917, 0.40625
600, 0.65625, 0.5041667, 0.375
605, 0.625, 0.5114583, 0.4375
610, 0.59375, 0.4802083, 0.328125
615, 0.640625, 0.5114583, 0.375
620, 0.703125, 0.5145833, 0.4375
625, 0.59375, 0.5125, 0.4375
630, 0.625, 0.4895833, 0.375
635, 0.625, 0.4947917, 0.34375
640, 0.65625, 0.4916667, 0.40625
645, 0.53125, 0.496875, 0.4375
650, 0.5625, 0.49375, 0.40625
655, 0.53125, 0.4864583, 0.4375
660, 0.625, 0.4958333, 0.265625
665, 0.59375, 0.4916667, 0.375
670, 0.59375, 0.484375, 0.375
675, 0.546875, 0.4895833, 0.421875
680, 0.65625, 0.5, 0.3125
685, 0.59375, 0.48125, 0.40625
690, 0.609375, 0.50625, 0.375
695, 0.625, 0.5010417, 0.375
700, 0.59375, 0.5145833, 0.4375
705, 0.71875, 0.4958333, 0.390625
710, 0.625, 0.5114583, 0.296875
715, 0.6875, 0.5052083, 0.375
720, 0.578125, 0.4979167, 0.40625
725, 0.640625, 0.50625, 0.40625
730, 0.5625, 0.4822917, 0.34375
735, 0.625, 0.4854167, 0.3125
740, 0.5625, 0.4916667, 0.40625
745, 0.765625, 0.5302083, 0.375
750, 0.625, 0.50625, 0.4375
755, 0.625, 0.5041667, 0.4375
760, 0.625, 0.5166667, 0.40625
765, 0.5625, 0.503125, 0.34375
770, 0.5625, 0.5, 0.4375
775, 0.625, 0.496875, 0.375
780, 0.625, 0.5072917, 0.390625
785, 0.65625, 0.5052083, 0.421875
790, 0.65625, 0.5447916, 0.46875
795, 0.65625, 0.5177084, 0.375
800, 0.625, 0.496875, 0.359375
805, 0.640625, 0.5145833, 0.375
810, 0.53125, 0.48125, 0.40625
815, 0.5625, 0.4979167, 0.40625
820, 0.640625, 0.4885417, 0.34375
825, 0.5625, 0.5041667, 0.375
830, 0.71875, 0.515625, 0.4375
835, 0.671875, 0.503125, 0.375
840, 0.6875, 0.490625, 0.375
845, 0.59375, 0.4989583, 0.375
850, 0.8125, 0.53125, 0.375
855, 0.625, 0.4885417, 0.40625
860, 0.609375, 0.4895833, 0.375
865, 0.59375, 0.5072917, 0.4375
870, 0.625, 0.5052083, 0.375
875, 0.59375, 0.4895833, 0.375
880, 0.59375, 0.4739583, 0.34375
885, 0.5625, 0.4697917, 0.3125
890, 0.59375, 0.4989583, 0.40625
895, 0.59375, 0.496875, 0.375
900, 0.625, 0.5104167, 0.40625
905, 0.75, 0.48125, 0.34375
910, 0.625, 0.4916667, 0.40625
915, 0.59375, 0.4979167, 0.375
920, 0.65625, 0.528125, 0.390625
925, 0.625, 0.5052083, 0.359375
930, 0.65625, 0.5145833, 0.4375
935, 0.625, 0.496875, 0.375
940, 0.65625, 0.4989583, 0.421875
945, 0.5, 0.478125, 0.40625
950, 0.625, 0.5072917, 0.4375
955, 0.625, 0.4833333, 0.265625
960, 0.65625, 0.50625, 0.40625
965, 0.546875, 0.4875, 0.375
970, 0.6875, 0.51875, 0.40625
975, 0.59375, 0.4864583, 0.375
980, 0.5625, 0.4947917, 0.40625
985, 0.5625, 0.4760417, 0.40625
990, 0.65625, 0.5239583, 0.453125
995, 0.625, 0.5197917, 0.40625
1000, 0.65625, 0.509375, 0.375
1005, 0.546875, 0.4791667, 0.296875
1010, 0.5625, 0.496875, 0.375
1015, 0.609375, 0.490625, 0.328125
1020, 0.609375, 0.5260417, 0.46875
1025, 0.671875, 0.5072917, 0.4375
1030, 0.65625, 0.534375, 0.375
1035, 0.625, 0.53125, 0.4375
1040, 0.625, 0.5197917, 0.40625
1045, 0.5625, 0.4822917, 0.375
1050, 0.625, 0.5083333, 0.34375
1055, 0.625, 0.49375, 0.375
1060, 0.8125, 0.4875, 0.375
1065, 0.59375, 0.4760417, 0.375
1070, 0.59375, 0.4979167, 0.375
1075, 0.5625, 0.490625, 0.390625
1080, 0.625, 0.4958333, 0.4375
1085, 0.625, 0.5020834, 0.34375
1090, 0.625, 0.4916667, 0.421875
1095, 0.59375, 0.478125, 0.34375
1100, 0.625, 0.503125, 0.375
1105, 0.5625, 0.5010417, 0.4375
1110, 0.625, 0.5239583, 0.4375
1115, 0.625, 0.4989583, 0.4375
1120, 0.625, 0.5177084, 0.4375
1125, 0.5625, 0.503125, 0.46875
1130, 0.625, 0.5010417, 0.375
1135, 0.5625, 0.5083333, 0.4375
1140, 0.578125, 0.4916667, 0.40625
1145, 0.5625, 0.5, 0.40625
1150, 0.65625, 0.5239583, 0.40625
1155, 0.59375, 0.4979167, 0.421875
1160, 0.515625, 0.4885417, 0.4375
1165, 0.609375, 0.503125, 0.40625
1170, 0.625, 0.5177084, 0.421875
1175, 0.625, 0.5041667, 0.40625
1180, 0.640625, 0.5208333, 0.375
1185, 0.53125, 0.4833333, 0.375
1190, 0.609375, 0.5197917, 0.40625
1195, 0.625, 0.5197917, 0.375
1200, 0.53125, 0.46875, 0.359375
1205, 0.5625, 0.4822917, 0.359375
1210, 0.5625, 0.4989583, 0.390625
1215, 0.625, 0.4697917, 0.3125
1220, 0.609375, 0.503125, 0.40625
1225, 0.59375, 0.50625, 0.40625
1230, 0.578125, 0.5177084, 0.453125
1235, 0.578125, 0.4770833, 0.328125
1240, 0.625, 0.5145833, 0.4375
1245, 0.59375, 0.4729167, 0.359375
1250, 0.671875, 0.5291666, 0.375
1255, 0.59375, 0.496875, 0.390625
1260, 0.59375, 0.4833333, 0.34375
1265, 0.625, 0.4979167, 0.375
1270, 0.53125, 0.4833333, 0.40625
1275, 0.6875, 0.5208333, 0.40625
1280, 0.59375, 0.503125, 0.375
1285, 0.59375, 0.5145833, 0.453125
1290, 0.65625, 0.525, 0.46875
1295, 0.671875, 0.509375, 0.375
1300, 0.59375, 0.4875, 0.375
1305, 0.625, 0.5239583, 0.453125
1310, 0.625, 0.4854167, 0.3125
1315, 0.59375, 0.475, 0.359375
1320, 0.625, 0.4885417, 0.3125
1325, 0.59375, 0.5020834, 0.421875
1330, 0.625, 0.5020834, 0.390625
1335, 0.59375, 0.5114583, 0.40625
1340, 0.5, 0.4791667, 0.375
1345, 0.640625, 0.509375, 0.3125
1350, 0.59375, 0.4989583, 0.4375
1355, 0.65625, 0.5177084, 0.484375
1360, 0.609375, 0.5, 0.34375
1365, 0.59375, 0.5020834, 0.4375
1370, 0.65625, 0.5239583, 0.34375
1375, 0.625, 0.5072917, 0.34375
1380, 0.59375, 0.5104167, 0.375
1385, 0.625, 0.4864583, 0.375
1390, 0.625, 0.5197917, 0.4375
1395, 0.625, 0.5291666, 0.3125
1400, 0.65625, 0.4875, 0.375
1405, 0.65625, 0.4979167, 0.375
1410, 0.5625, 0.4958333, 0.40625
1415, 0.75, 0.5177084, 0.375
1420, 0.6875, 0.5125, 0.296875
1425, 0.53125, 0.4697917, 0.375
1430, 0.640625, 0.528125, 0.46875
1435, 0.59375, 0.4958333, 0.375
1440, 0.625, 0.5145833, 0.390625
1445, 0.625, 0.4833333, 0.34375
1450, 0.625, 0.4979167, 0.34375
1455, 0.53125, 0.4697917, 0.34375
1460, 0.625, 0.5395833, 0.40625
1465, 0.5625, 0.5083333, 0.46875
1470, 0.59375, 0.5072917, 0.375
1475, 0.609375, 0.4791667, 0.375
1480, 0.53125, 0.4770833, 0.34375
1485, 0.5625, 0.4895833, 0.421875
1490, 0.609375, 0.50625, 0.4375
1495, 0.5625, 0.496875, 0.4375
1500, 0.5625, 0.48125, 0.328125
1505, 0.5625, 0.5020834, 0.4375
1510, 0.5625, 0.4822917, 0.296875
1515, 0.65625, 0.5114583, 0.453125
1520, 0.625, 0.5291666, 0.453125
1525, 0.625, 0.515625, 0.4375
1530, 0.5625, 0.4895833, 0.328125
1535, 0.65625, 0.5114583, 0.40625
1540, 0.640625, 0.4958333, 0.375
1545, 0.6875, 0.5291666, 0.390625
1550, 0.71875, 0.503125, 0.375
1555, 0.6875, 0.5135416, 0.375
1560, 0.59375, 0.4885417, 0.375
1565, 0.625, 0.5385417, 0.40625
1570, 0.625, 0.51875, 0.40625
1575, 0.53125, 0.4739583, 0.375
1580, 0.53125, 0.4927083, 0.4375
1585, 0.5625, 0.4739583, 0.375
1590, 0.625, 0.534375, 0.4375
1595, 0.625, 0.503125, 0.375
1600, 0.703125, 0.5270833, 0.46875
1605, 0.625, 0.5072917, 0.40625
1610, 0.625, 0.5260417, 0.375
1615, 0.625, 0.496875, 0.40625
1620, 0.625, 0.4958333, 0.375
1625, 0.625, 0.5177084, 0.46875
1630, 0.59375, 0.4895833, 0.3125
1635, 0.53125, 0.4729167, 0.375
1640, 0.5625, 0.4958333, 0.40625
1645, 0.71875, 0.5145833, 0.40625
1650, 0.625, 0.4989583, 0.375
1655, 0.625, 0.5177084, 0.4375
1660, 0.65625, 0.5041667, 0.359375
1665, 0.65625, 0.5104167, 0.40625
