Generation,BestCandidate, Average, WorstCandidate
5, 0.536, 0.4784, 0
10, 0.536, 0.5071999, 0
15, 0.536, 0.5360001, 0
20, 0.536, 0.5360001, 0
25, 0.536, 0.5360001, 0
30, 0.536, 0.5360001, 0
35, 0.536, 0.5360001, 0
40, 0.536, 0.5360001, 0
45, 0.536, 0.5360001, 0
50, 0.536, 0.5360001, 0
55, 0.536, 0.5360001, 0
60, 0.536, 0.5360001, 0
65, 0.536, 0.5360001, 0
70, 0.536, 0.5360001, 0
75, 0.536, 0.5360001, 0
80, 0.536, 0.5360001, 0
85, 0.536, 0.5360001, 0
90, 0.536, 0.5360001, 0
95, 0.536, 0.5360001, 0
100, 0.536, 0.5360001, 0
105, 0.536, 0.5360001, 0
110, 0.536, 0.5360001, 0
115, 0.536, 0.5360001, 0
120, 0.536, 0.5360001, 0
125, 0.536, 0.5360001, 0
130, 0.536, 0.5360001, 0
135, 0.536, 0.5360001, 0
140, 0.536, 0.5360001, 0
145, 0.536, 0.5360001, 0
150, 0.536, 0.5360001, 0
155, 0.536, 0.5360001, 0
160, 0.536, 0.5360001, 0
165, 0.536, 0.5360001, 0
170, 0.564, 0.5306668, 0
175, 0.576, 0.5488001, 0
180, 0.576, 0.5557334, 0
185, 0.576, 0.5613334, 0
190, 0.584, 0.5738667, 0
195, 0.584, 0.52, 0
200, 0.584, 0.584, 0
205, 0.584, 0.5584001, 0
210, 0.592, 0.5717334, 0
215, 0.592, 0.5114667, 0
220, 0.616, 0.4946667, 0
225, 0.616, 0.52, 0
230, 0.616, 0.5525334, 0
235, 0.616, 0.5952001, 0
240, 0.616, 0.5856, 0
245, 0.616, 0.5658667, 0
250, 0.616, 0.5637334, 0
255, 0.636, 0.5277334, 0
260, 0.656, 0.5888001, 0
265, 0.656, 0.6165334, 0
270, 0.656, 0.6560001, 0
275, 0.656, 0.5554667, 0
280, 0.656, 0.5744001, 0
285, 0.656, 0.5840001, 0
290, 0.656, 0.6026668, 0
295, 0.656, 0.6530668, 0
300, 0.656, 0.6530668, 0
305, 0.656, 0.6000001, 0
310, 0.656, 0.5632, 0
315, 0.656, 0.6160001, 0
320, 0.656, 0.5976001, 0
325, 0.656, 0.6240001, 0
330, 0.656, 0.6090667, 0
335, 0.656, 0.6352001, 0
340, 0.656, 0.6304001, 0
345, 0.656, 0.6253334, 0
350, 0.656, 0.6282667, 0
355, 0.656, 0.6552001, 0
360, 0.656, 0.6560001, 0
365, 0.656, 0.6560001, 0
370, 0.656, 0.5840001, 0
375, 0.656, 0.5888, 0
380, 0.656, 0.6560001, 0
385, 0.656, 0.5885334, 0
390, 0.656, 0.6352001, 0
395, 0.656, 0.5885333, 0
400, 0.656, 0.6293334, 0
405, 0.656, 0.6064001, 0
410, 0.656, 0.5568001, 0
415, 0.656, 0.5581333, 0
420, 0.656, 0.584, 0
425, 0.656, 0.5760001, 0
430, 0.656, 0.5440001, 0
435, 0.656, 0.5906667, 0
440, 0.656, 0.6160001, 0
445, 0.656, 0.6096001, 0
450, 0.656, 0.5594667, 0
455, 0.656, 0.5680001, 0
460, 0.656, 0.5549334, 0
465, 0.656, 0.6040001, 0
470, 0.656, 0.6304001, 0
475, 0.656, 0.6560001, 0
480, 0.656, 0.5984001, 0
485, 0.656, 0.6130667, 0
490, 0.656, 0.5733334, 0
495, 0.656, 0.5944001, 0
500, 0.656, 0.5808, 0
505, 0.656, 0.5416, 0
510, 0.656, 0.4981332, 0
515, 0.664, 0.5997333, 0
520, 0.672, 0.5752, 0
525, 0.672, 0.5802667, 0
530, 0.672, 0.6351999, 0
535, 0.672, 0.5989333, 0
540, 0.672, 0.5781334, 0
545, 0.672, 0.6256, 0
550, 0.672, 0.6538666, 0
555, 0.672, 0.6538666, 0
560, 0.672, 0.5853333, 0
565, 0.672, 0.6261333, 0
570, 0.672, 0.6677333, 0
575, 0.672, 0.6501333, 0
580, 0.672, 0.672, 0
585, 0.672, 0.672, 0
590, 0.672, 0.6629333, 0
595, 0.672, 0.6218666, 0
600, 0.672, 0.6298667, 0
605, 0.672, 0.6453333, 0
610, 0.672, 0.6045333, 0
615, 0.672, 0.5936, 0
620, 0.672, 0.6165333, 0
625, 0.672, 0.6512, 0
630, 0.672, 0.6490667, 0
635, 0.672, 0.6309333, 0
640, 0.672, 0.672, 0
645, 0.68, 0.5951999, 0
650, 0.68, 0.5925333, 0
655, 0.68, 0.6773333, 0
660, 0.68, 0.6608, 0
665, 0.68, 0.6098666, 0
670, 0.68, 0.68, 0
675, 0.68, 0.6562666, 0
680, 0.68, 0.6128, 0
685, 0.68, 0.6152, 0
690, 0.68, 0.6589333, 0
695, 0.68, 0.68, 0
700, 0.68, 0.5917333, 0
705, 0.68, 0.6368, 0
710, 0.68, 0.5650666, 0
715, 0.68, 0.5952, 0
720, 0.68, 0.6368, 0
725, 0.68, 0.656, 0
730, 0.68, 0.632, 0
735, 0.68, 0.6096, 0
740, 0.68, 0.632, 0
745, 0.68, 0.6394666, 0
750, 0.68, 0.6320001, 0
755, 0.68, 0.6133333, 0
760, 0.68, 0.6085333, 0
765, 0.68, 0.6514666, 0
770, 0.68, 0.6032, 0
775, 0.68, 0.68, 0
780, 0.68, 0.68, 0
